,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,38,35,34,24,25,21,21,24,36,32,33,32,30,22,18,22,27,23,23
Alaska,1,4,1,1,1,1,,,,1,,1,2,1,,,,4,4
Arizona,8,8,8,9,8,11,9,15,19,16,22,17,28,20,16,18,18,22,20
Arkansas,18,13,21,21,21,18,18,18,20,24,29,26,23,24,20,22,16,12,14
California,29,40,48,44,42,48,59,72,84,60,68,84,82,77,57,68,79,75,83
Colorado,7,6,6,7,9,10,13,11,15,17,19,15,15,17,15,16,16,21,22
Connecticut,3,5,7,7,4,4,7,5,5,6,6,5,7,5,3,2,5,6,6
Delaware,2,1,,2,3,3,2,2,4,4,5,5,4,4,4,5,4,2,2
D.C.,3,3,3,5,5,7,6,8,8,9,12,13,14,15,16,18,21,26,27
Florida,38,42,44,38,41,47,47,46,56,51,49,55,59,58,50,58,63,66,75
Georgia,30,30,31,53,39,40,42,39,40,37,39,65,53,50,28,39,32,40,41
Hawaii,1,1,,,,,,,,1,,,,,,,,1,5
Idaho,9,8,9,7,7,7,7,8,7,9,13,18,17,9,10,8,12,12,10
Illinois,16,19,16,9,18,21,21,21,23,28,29,28,27,23,21,23,32,35,31
Indiana,18,13,12,15,11,13,15,18,16,17,24,20,20,26,16,16,26,30,24
Iowa,2,3,2,5,1,2,2,1,8,17,6,4,5,5,2,5,4,4,3
Kansas,4,4,5,6,7,7,6,7,8,6,6,3,4,5,3,5,7,4,4
Kentucky,8,9,11,8,12,14,12,13,11,10,15,14,10,15,16,13,23,11,13
Louisiana,19,17,20,26,26,27,25,20,22,28,25,27,21,20,15,21,14,13,21
Maine,1,,1,,1,1,2,1,1,2,3,6,3,2,2,2,3,3,5
Maryland,8,8,12,8,7,8,8,7,13,13,17,18,17,15,15,15,18,19,21
Massachusetts,6,8,10,6,11,12,8,9,13,16,10,10,8,12,13,10,12,10,14
Michigan,14,14,16,16,20,23,22,21,23,26,35,26,25,18,15,19,28,29,31
Minnesota,8,8,7,7,6,6,9,7,8,9,7,12,12,8,8,6,10,12,12
Mississippi,27,40,26,27,26,27,27,27,22,25,40,41,36,22,22,19,18,15,13
Missouri,17,18,16,18,22,21,21,26,30,31,26,26,21,23,19,22,24,18,24
Montana,4,4,2,3,2,2,5,6,6,12,13,10,12,8,9,6,10,8,7
Nebraska,5,4,3,5,5,5,4,3,4,4,8,7,8,9,7,5,5,9,8
Nevada,8,6,9,6,7,10,11,10,13,15,15,12,10,8,6,4,4,9,10
New Hampshire,,,1,2,1,2,5,4,3,5,5,4,6,7,6,6,6,9,10
New Jersey,13,19,18,29,29,26,32,31,40,44,47,47,51,44,40,21,15,17,18
New Mexico,3,2,2,1,,,1,1,1,2,3,4,5,6,3,3,2,1,
New York,23,18,24,23,18,17,22,24,24,31,31,37,38,42,44,44,47,48,47
North Carolina,26,23,29,31,36,34,30,26,30,29,28,34,28,33,24,29,31,32,40
North Dakota,1,,1,1,,,,1,1,1,4,3,4,1,2,2,1,2,3
Ohio,26,28,26,33,30,33,30,27,23,27,32,32,36,31,27,34,35,31,36
Oklahoma,5,4,6,7,11,14,16,13,19,15,23,13,20,17,11,17,6,10,9
Oregon,5,8,6,8,7,6,8,9,7,10,15,15,9,9,9,9,11,18,15
Pennsylvania,27,25,21,29,30,30,26,29,37,28,36,34,35,41,38,40,40,36,36
Rhode Island,,1,,2,1,,,,2,3,2,1,4,3,1,3,1,3,2
South Carolina,12,33,42,44,45,43,43,43,45,36,30,27,21,20,19,22,12,14,17
South Dakota,1,1,1,,,,,,4,3,2,3,6,3,4,5,7,7,7
Tennessee,14,17,24,28,30,34,33,36,38,37,35,39,33,37,29,41,38,37,36
Texas,38,50,47,51,40,44,52,65,66,66,59,45,62,57,36,84,55,66,73
Utah,3,1,2,1,2,2,1,2,5,6,6,4,4,6,4,3,3,3,9
Vermont,,,,,1,31,2,1,2,1,2,1,2,4,4,3,1,2,1
Virginia,26,29,25,25,28,,31,32,26,22,29,34,30,25,26,32,39,37,39
Washington,12,10,14,12,8,8,15,18,12,15,13,16,16,10,10,8,21,26,28
West Virginia,3,4,6,8,8,9,8,7,14,13,13,15,11,10,10,8,4,4,5
Wisconsin,8,9,11,12,10,12,12,11,10,8,8,8,11,10,10,9,9,11,15
Wyoming,1,1,3,3,3,4,2,2,2,4,5,2,2,2,1,2,2,1,1
Grand Total,599,654,689,733,725,765,798,827,926,932,1002,1018,1007,939,784,892,917,954,1020